Selskap;id;Tillegg i K*;Tillegg i IR
ALUT AS;7;0;0
NORANETT ANDØY AS;9;0;0
HAVNETT AS;16;0;0
BINDAL KRAFTLAG SA;22;0;0
NORGESNETT AS;32;0;0
DE NETT AS;35;955;669
FJELLNETT AS;37;4944;3461
STRAM AS;42;0;0
BØMLO KRAFTNETT AS;43;583;408
LYSNA AS;55;14015;9811
NORANETT HADSEL AS;63;0;0
LUCERNA AS;65;2422;1695
LINEA AS;71;587;411
ASKER NETT AS;82;0;0
HØLAND OG SETSKOG ELVERK AS;84;32;22
ELINETT AS;86;2188;1532
JÆREN EVERK AS;88;206;144
KE NETT AS;91;557;390
VESTMAR NETT AS;93;0;0
NOREFJELL NETT AS;95;0;0
HARINGNETT AS;96;2890;2023
YMBER PRODUKSJON AS;98;0;0
BREHEIM NETT AS;104;1015;710
MELØY ENERGI AS;116;1014;710
MOSTRAUM NETT AS;121;226;158
KYSTNETT AS;132;0;0
VISSI AS;133;2704;1893
KLIVE AS;135;0;0
RAKKESTAD ENERGI AS;157;0;0
RK NETT AS;161;0;0
ROMSDALSNETT AS;162;0;0
AREA NETT AS;164;17338;12137
HYDRO ENERGI AS;167;0;0
R-NETT AS;168;0;0
RØROS E-VERK NETT AS;173;1393;975
Sira Kvina Kraftselskap;187;0;0
SKIAKERNETT AS (Inaktiv i brreg);194;0;0
SYGNIR AS;197;2837;1986
STRAUMEN NETT AS;213;0;0
SØR AURDAL ENERGI AS;214;897;628
TENSIO TS AS;215;0;0
TINFOS AS;222;0;0
STANNUM AS;223;1717;1202
ARVA AS;227;5295;3707
INDRE HORDALAND KRAFTNETT AS;238;0;0
UVDAL KRAFTFORSYNING SA;242;432;302
VANG ENERGIVERK AS;248;0;0
BARENTS NETT AS;249;3034;2124
TELEMARK NETT AS;251;0;0
ENIDA AS;257;880;616
ELVENETT AS;264;0;0
STRAUMNETT AS;267;0;0
LINJA AS;269;0;0
S-NETT AS;274;305;214
FØIE AS;275;4089;2862
USTEKVEIKJA KRAFTVERK DA;287;0;0
HYDRO ALUMINIUM AS;294;0;0
VEVIG AS;295;0;0
GRIUG AS;306;0;0
MELLOM AS;311;2792;1954
STATNETT SF;319;0;0
EVERKET AS;349;0;0
ELMEA AS;354;0;0
NORANETT AS;433;8900;6230
HAFSLUND KRAFT AS;447;0;0
VESTALL AS;464;2390;1673
FAGNE AS;503;0;0
LNETT AS;511;1761;1233
ETNA NETT AS;542;0;0
BKK AS;566;12696;8887
MIDTNETT AS;591;3742;2620
NETERA AS;599;0;0
LEDE AS;611;23988;16791
NORDVEST NETT AS;613;888;621
GLITRE NETT AS;624;2927;2049
TENDRANETT AS;625;0;0
FØRE AS;659;241;169
ELVIA AS;675;0;0
STATKRAFT ENERGI AS;685;0;0
Yara Norge AS;686;0;0
TENSIO TN AS;699;0;0
SVABO INDUSTRINETT AS;743;0;0
Aktieselskabet Saudefaldene;753;0;0
HERØYA NETT AS;852;0;0
SØR-NORGE ALUMINIUM AS;873;0;0
NORDLINK NORGE AS;901;0;0
NETTSELSKAPET AS;903;9976;6983
